nome,classe,bolsa_fonte,tipo_de_ativo,ativo_cancelado,codigo,fechamento_31dez16,fechamento_31dez17,fechamento_31dez18,fechamento_31dez19,fechamento_31dez20,fechamento_31dez21,fechamento_31dez22,valor_mercado_da_empresa_31dez17,valor_mercado_da_empresa_31dez18,valor_mercado_da_empresa_31dez19,valor_mercado_da_empresa_31dez20,valor_mercado_da_empresa_31dez21,valor_mercado_da_empresa_31dez22,patrim_liq_dez_2017,patrim_liq_dez_2018,patrim_liq_dez_2019,patrim_liq_dez_2020,patrim_liq_dez_2021,patrim_liq_dez_2022
Santander BR,ON,Bovespa,Ação,ativo,SANB3,12.944747159,12.910634303,16.238773958,19.39480901,17.585575184,12.833548143,12.885565277,119069757.52,159829134.23,182954264.87,168302151.99,112481869.35,104885378.46,59499954,65233743,69773232,78968183,78739563,82061914
Santander BR,PN,Bovespa,Ação,ativo,SANB4,6.3118400573,9.0015445633,14.854543915,17.870132938,19.12537079,14.435517689,14.492896028,119069757.52,159829134.23,182954264.87,168302151.99,112481869.35,104885378.46,59499954,65233743,69773232,78968183,78739563,82061914
Santander BR,UNT,Bovespa,Ação,ativo,SANB11,19.181818956,21.917446945,30.951040378,37.541303786,36.360376431,27.097735,27.328218146,119069757.52,159829134.23,182954264.87,168302151.99,112481869.35,104885378.46,59499954,65233743,69773232,78968183,78739563,82061914
Santander BR,UNT,Bovespa,Ação,ativo,SANB99,NA,NA,NA,NA,NA,NA,NA,119069757.52,159829134.23,182954264.87,168302151.99,112481869.35,104885378.46,59499954,65233743,69773232,78968183,78739563,82061914
Santanense,ON,Bovespa,Ação,ativo,CTSA3,1.3202933162,3.0080167649,5.5339812175,8.0807722779,9.82150939,7.3758370913,2.65,142746.73448,186649.18,252292.79927,245690.05,173373.94,55239.451697,262641,277613,288242,283293,304984,NA
Santanense,PN,Bovespa,Ação,ativo,CTSA4,1.6827658089,3.2096103645,8.5949187181,9.3558731238,7.736402905,5.233449024,1.64,142746.73448,186649.18,252292.79927,245690.05,173373.94,55239.451697,262641,277613,288242,283293,304984,NA
Santos Brp,ON,Bovespa,Ação,ativo,STBP3,2.1026292955,2.9699638798,3.7092183395,7.1809380501,4.6290448294,5.9037847273,7.7774226592,2240301.84,2804739.57,5461483.34,4523295,5545309.16,6744747.24,1330820,1341127,1352384,2097210,2187228,2092883
Sao Carlos,ON,Bovespa,Ação,ativo,SCAR3,23.957367318,41.950725919999996,31.694802928,46.325227337,43.724085107,41.055389396,18.15,2427000.45,1820244.16,2647974,2506861.5,2328105.6,1032027.15,1402661,1400282,1471033,1547000,1562354,1477075
Sao Martinho,ON,Bovespa,Ação,ativo,SMTO3,15.989297882,16.080099692,15.549284563,20.924016963,24.7254143,33.183146082,26.52,6894379.0416,6381100.4945,8246195.5215,9476821.8058,11929157.273,9185866.7503,3375083,3344615,3695000,4037269,4842159,5788725
Saraiva Livr,ON,Bovespa,Ação,ativo,SLED3,227.8573356,117.57762868,53.074354365,158.37511821,38.414390374,13.151392794,6.6,120449.2,57861.56,81699.4,52321.11866,16258.92,25856.77,422022,120906,-172677,-545074,-498877,-347674
Saraiva Livr,PN,Bovespa,Ação,ativo,SLED4,107.69403773,127.04208488,68.066422379,69.183009203,20.690245743,5.7360011633,2.39,120449.2,57861.56,81699.4,52321.11866,16258.92,25856.77,422022,120906,-172677,-545074,-498877,-347674
Schulz,ON,Bovespa,Ação,ativo,SHUL3,NA,NA,NA,NA,NA,NA,NA,437765.32059,621766.53936,902445.88032,1204907.724,1501272.8677,1682145.1502,487196,540706,620101,742376,908481,1114869
Schulz,PN,Bovespa,Ação,ativo,SHUL4,0.60661716013,1.0111760243,1.4990198802,2.2457872184,3.0701154516,3.8993965793,4.5789082498,437765.32059,621766.53936,902445.88032,1204907.724,1501272.8677,1682145.1502,487196,540706,620101,742376,908481,1114869
Seg Al Bahia,ON,Bovespa,Ação,ativo,CSAB3,31.866098436,45.570620366,37.205156773,NA,50.986518909,NA,34.560699941,433996.8,341760,334233.6,403161.6,328320,312192,185527,180769,182458,198916,173654,189874
Seg Al Bahia,PN,Bovespa,Ação,ativo,CSAB4,32.320440316,43.05898528,NA,36.815548653,46.242785811,41.190476738,45.337436356,433996.8,341760,334233.6,403161.6,328320,312192,185527,180769,182458,198916,173654,189874
Sequoia Log,ON,Bovespa,Ação,ativo,SEQL3,NA,NA,NA,NA,22.79,14.14,3.04,NA,NA,NA,2897748.9786,1971555.8813,426474.56544,72299,89700,86344,411325,600831,498328
