ano,mes,consumo,data
2018,12,160228.3,2018-12-01
2019,1,183563.15,2019-01-01
2019,2,168134.39,2019-02-01
2019,3,173168.66,2019-03-01
2019,4,174515.09,2019-04-01
2019,5,176364.35,2019-05-01
2019,6,161791.93,2019-06-01
2019,7,160159.17,2019-07-01
2019,8,150575.47,2019-08-01
2019,9,155036.74,2019-09-01
2019,10,165621.23,2019-10-01
2019,11,170884.37,2019-11-01
2019,12,181016.44,2019-12-01
2020,1,189148.78,2020-01-01
2020,2,184335.19,2020-02-01
2020,3,191944.26,2020-03-01
2020,4,195107.79,2020-04-01
2020,5,193504.52,2020-05-01
2020,6,162716.41,2020-06-01
2020,7,163378.92,2020-07-01
2020,8,162020.61,2020-08-01
2020,9,170818.51,2020-09-01
2020,10,182876.98,2020-10-01
2020,11,196164.54,2020-11-01
2020,12,197013.53,2020-12-01
2021,1,192957.65,2021-01-01
2021,2,191857.62,2021-02-01
2021,3,201513.44,2021-03-01
2021,4,201799.47,2021-04-01
2021,5,187426.39,2021-05-01
2021,6,178801.57,2021-06-01
2021,7,176926.78,2021-07-01
2021,8,177377.94,2021-08-01
2021,9,177676.56,2021-09-01
2021,10,191252.57,2021-10-01
2021,11,192298.43,2021-11-01
2021,12,211557.91,2021-12-01
